group,key,task,total,pos_support,neg_support,accuracy,tpr_recall_sensitivity,tnr_specificity,fpr,fnr,precision_ppv,npv,f1,f0_5,f2,prevalence,predicted_positive_rate,predicted_negative_rate,fdr,for,threat_score,mcc,balanced_accuracy,youden_j,g_mean,lr_plus,lr_minus,diagnostic_odds_ratio,cohens_kappa,markedness,owasp_score,TP,FP,TN,FN
category,pathtraver,any_alert,268,133,135,0.664179104477612,0.6390977443609023,0.6888888888888889,0.3111111111111111,0.3609022556390977,0.6692913385826772,0.6595744680851063,0.6538461538461539,0.6630265210608425,0.6449165402124432,0.4962686567164179,0.47388059701492535,0.5261194029850746,0.33070866141732286,0.3404255319148936,0.4857142857142857,0.32842592577313845,0.6639933166248956,0.32798663324979116,0.6635264388132376,2.0542427497314715,0.5238903710890128,3.9211309523809526,0.3280962727728565,0.32886580666778364,32.79866332497912,85,42,93,48
category,hash,any_alert,236,129,107,0.4576271186440678,0.023255813953488372,0.9813084112149533,0.01869158878504673,0.9767441860465116,0.6,0.45454545454545453,0.04477611940298507,0.10067114093959731,0.028790786948176585,0.5466101694915254,0.0211864406779661,0.9788135593220338,0.4,0.5454545454545454,0.022900763358778626,0.01577839460973306,0.5022821125842208,0.004564225168441682,0.15106662716234917,1.2441860465116277,0.9953488372093023,1.2499999999999998,0.004153754862530486,0.05454545454545445,0.45642251684416824,3,2,105,126
category,trustbound,any_alert,126,83,43,0.4365079365079365,0.18072289156626506,0.9302325581395349,0.06976744186046513,0.8192771084337349,0.8333333333333334,0.37037037037037035,0.29702970297029707,0.4838709677419355,0.21428571428571427,0.6587301587301587,0.14285714285714285,0.8571428571428571,0.16666666666666666,0.6296296296296297,0.1744186046511628,0.15033973543671503,0.5554777248528999,0.11095544970579985,0.41001746028195013,2.590361445783132,0.880722891566265,2.9411764705882346,0.08133086876155265,0.20370370370370372,11.095544970579985,15,3,40,68
category,crypto,any_alert,246,130,116,0.44715447154471544,0.27692307692307694,0.6379310344827587,0.3620689655172413,0.7230769230769231,0.46153846153846156,0.44047619047619047,0.3461538461538462,0.40723981900452494,0.30100334448160543,0.5284552845528455,0.3170731707317073,0.6829268292682927,0.5384615384615384,0.5595238095238095,0.20930232558139536,-0.09134029517918625,0.4574270557029178,-0.08514588859416439,0.420306822373474,0.764835164835165,1.1334719334719334,0.6747720364741643,-0.08313908313908322,-0.09798534798534797,-8.514588859416438,36,42,74,94
category,cmdi,any_alert,251,126,125,0.7330677290836654,0.753968253968254,0.712,0.28800000000000003,0.24603174603174605,0.7251908396946565,0.7416666666666667,0.7392996108949417,0.7307692307692307,0.7480314960629921,0.50199203187251,0.5219123505976095,0.47808764940239046,0.2748091603053435,0.25833333333333336,0.5864197530864198,0.4664126682361434,0.732984126984127,0.4659682539682539,0.7326836949362233,2.6179453262786594,0.34555020510076695,7.57616487455197,0.4660422289252263,0.46685750636132317,46.596825396825395,95,36,89,31
category,sqli,any_alert,504,272,232,0.6904761904761905,0.9227941176470589,0.41810344827586204,0.5818965517241379,0.07720588235294112,0.6502590673575129,0.8220338983050848,0.7629179331306991,0.6910792951541851,0.8514246947082769,0.5396825396825397,0.7658730158730159,0.23412698412698413,0.34974093264248707,0.17796610169491525,0.6167076167076168,0.4012524422316919,0.6704487829614605,0.340897565922921,0.6211468446647032,1.585838779956427,0.18465736810187983,8.588007054673726,0.3536761804550835,0.4722929656625978,34.0897565922921,251,135,97,21
category,weakrand,any_alert,493,218,275,0.6774847870182555,0.5458715596330275,0.7818181818181819,0.21818181818181814,0.45412844036697253,0.664804469273743,0.6847133757961783,0.5994962216624684,0.6370449678800857,0.566127497621313,0.4421906693711968,0.3630831643002028,0.6369168356997972,0.33519553072625696,0.31528662420382164,0.42805755395683454,0.3384278538825467,0.6638448707256046,0.3276897414512092,0.653278126266714,2.5019113149847096,0.5808619586089183,4.307239057239057,0.33388002753299273,0.34951784506992123,32.76897414512092,119,60,215,99
category,ldapi,any_alert,59,27,32,0.5423728813559322,0.6666666666666666,0.4375,0.5625,0.33333333333333337,0.5,0.6086956521739131,0.5714285714285715,0.5263157894736842,0.625,0.4576271186440678,0.6101694915254238,0.3898305084745763,0.5,0.391304347826087,0.4,0.10640706634484356,0.5520833333333333,0.10416666666666652,0.5400617248673216,1.1851851851851851,0.761904761904762,1.5555555555555554,0.10152284263959388,0.10869565217391308,10.416666666666652,18,18,14,9
category,xss,any_alert,455,246,209,0.843956043956044,0.8495934959349594,0.8373205741626795,0.16267942583732053,0.15040650406504064,0.8600823045267489,0.8254716981132075,0.8548057259713702,0.8579638752052545,0.8516707416462918,0.5406593406593406,0.5340659340659341,0.46593406593406594,0.13991769547325103,0.17452830188679244,0.7464285714285714,0.6862336994239935,0.8434570350488194,0.6869140700976388,0.8434347122457898,5.222501195600192,0.17962833914053425,29.073926868044524,0.6861733648082845,0.6855540026399565,68.69140700976388,209,34,175,37
category,securecookie,any_alert,67,36,31,0.417910447761194,0.1388888888888889,0.7419354838709677,0.25806451612903225,0.8611111111111112,0.38461538461538464,0.42592592592592593,0.20408163265306123,0.28409090909090906,0.1592356687898089,0.5373134328358209,0.19402985074626866,0.8059701492537313,0.6153846153846154,0.5740740740740741,0.11363636363636363,-0.15026263059169054,0.4404121863799283,-0.11917562724014341,0.3210087148070576,0.5381944444444445,1.1606280193236715,0.46370967741935487,-0.11333617383894332,-0.18945868945868938,-11.917562724014342,5,8,23,31
category,xpathi,any_alert,35,15,20,0.6857142857142857,0.8,0.6,0.4,0.19999999999999996,0.6,0.8,0.6857142857142857,0.6315789473684211,0.7500000000000001,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.4,0.2,0.5217391304347826,0.4,0.7,0.3999999999999999,0.6928203230275509,2.0,0.33333333333333326,6.000000000000002,0.384,0.3999999999999999,39.99999999999999,12,8,12,3
